source,filament,dist_min,dist_min_pc,pa,within_10arcmin
davis 11,filament90_north,16.53350191,0.06636966807,118.1687921,filament75_north filament372_north filament61_north filament400_north filament347_north filament78_north filament311_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament406_north filament31_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament373_north filament328_north filament164_north filament214_north filament195_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament416_north filament370_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament254_north filament312_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament26_north filament267_north filament321_north filament48_north filament32_north
davis 17,filament283_north,2.587257603,0.01038590791,71.79204146,filament372_north filament61_north filament400_north filament78_north filament133_north filament311_north filament276_north filament90_north filament262_north filament324_north filament112_north filament168_north filament218_north filament213_north filament269_north filament248_north filament406_north filament360_north filament31_north filament444_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament373_north filament164_north filament214_north filament195_north filament132_north filament91_north filament58_north filament113_north filament382_north filament162_north filament268_north filament361_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament42_north filament217_north filament416_north filament370_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament44_north filament247_north filament166_north filament399_north filament43_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament441_north filament380_north filament197_north filament254_north filament312_north filament296_north filament64_north filament155_north filament188_north filament160_north filament314_north filament191_north filament246_north filament26_north filament267_north filament32_north filament453_north
davis 21,filament14_north,4.073841589,0.01635343289,136.694035,filament372_north filament61_north filament400_north filament78_north filament133_north filament311_north filament276_north filament90_north filament262_north filament324_north filament397_north filament168_north filament218_north filament341_north filament213_north filament269_north filament433_north filament248_north filament406_north filament360_north filament31_north filament444_north filament322_north filament114_north filament135_north filament251_north filament198_north filament373_north filament164_north filament195_north filament132_north filament91_north filament58_north filament113_north filament219_north filament396_north filament162_north filament361_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament42_north filament217_north filament236_north filament370_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament44_north filament247_north filament166_north filament399_north filament43_north filament223_north filament403_north filament62_north filament284_north filament417_north filament111_north filament93_north filament394_north filament441_north filament380_north filament197_north filament254_north filament312_north filament296_north filament64_north filament155_north filament188_north filament160_north filament342_north filament314_north filament191_north filament246_north filament26_north filament32_north filament453_north
davis 30,filament50_north,27.55888206,0.110628339,55.43093781,filament144_north filament150_north filament171_north filament1_north filament243_north filament180_north filament239_north filament442_north filament46_north filament207_north filament177_north filament142_north filament138_north filament245_north filament286_north filament434_north filament418_north filament242_north filament238_north filament181_north filament219_north filament47_north filament66_north filament407_north filament143_north filament139_north filament445_north filament316_north filament299_north filament244_north filament423_north filament42_north filament285_north filament152_north filament348_north filament104_north filament288_north filament241_north filament182_north filament140_north filament175_north filament50_north filament301_north filament315_north filament12_north filament102_north filament178_north filament208_north filament27_north filament172_north filament153_north filament105_north filament124_north filament240_north filament183_north filament141_north filament70_north filament51_north filament45_north filament174_north filament122_north filament13_north filament103_north filament273_north
davis 50,filament18_south,48.21719839,0.1935560578,37.71434227,filament17_south filament148_south filament113_south filament36_south filament115_south filament11_south filament299_south filament6_south filament249_south filament16_south filament90_south filament215_south filament1_south filament114_south filament10_south filament298_south filament7_south filament281_south filament226_south filament67_south filament20_south filament34_south filament183_south filament216_south filament259_south filament18_south filament69_south filament246_south filament9_south filament32_south filament64_south filament70_south filament188_south filament231_south filament4_south filament174_south filament35_south filament313_south filament14_south filament38_south filament217_south filament19_south filament247_south filament68_south filament8_south filament189_south filament65_south
hops 10,filament75_south,0.8308306669,0.00333516492,90.33918154,filament310_south filament238_south filament198_south filament74_south filament55_south filament41_south filament30_south filament120_south filament53_south filament29_south filament47_south filament227_south filament157_south filament294_south filament72_south filament233_south filament239_south filament23_south filament234_south filament75_south filament199_south filament40_south filament31_south filament25_south filament121_south filament46_south filament52_south filament28_south filament213_south filament73_south filament156_south filament261_south filament240_south filament172_south filament237_south filament122_south filament26_south filament209_south filament103_south filament81_south filament155_south filament141_south filament104_south filament307_south filament42_south filament123_south filament80_south filament27_south filament71_south filament297_south
hops 11,filament42_south,13.05414174,0.0524026343,109.6286204,filament310_south filament238_south filament198_south filament74_south filament55_south filament41_south filament30_south filament120_south filament53_south filament29_south filament47_south filament227_south filament157_south filament294_south filament72_south filament233_south filament239_south filament23_south filament234_south filament75_south filament199_south filament40_south filament31_south filament25_south filament121_south filament46_south filament52_south filament28_south filament213_south filament73_south filament156_south filament261_south filament240_south filament306_south filament172_south filament237_south filament122_south filament26_south filament209_south filament103_south filament81_south filament155_south filament141_south filament104_south filament307_south filament42_south filament123_south filament80_south filament27_south filament71_south filament297_south
hops 12,filament71_south,7.885314907,0.03165365303,42.12370086,filament310_south filament238_south filament198_south filament74_south filament55_south filament41_south filament30_south filament120_south filament53_south filament29_south filament227_south filament157_south filament294_south filament317_north filament72_south filament233_south filament239_south filament23_south filament234_south filament75_south filament293_south filament199_south filament40_south filament31_south filament25_south filament121_south filament52_south filament28_south filament213_south filament73_south filament156_south filament261_south filament240_south filament86_north filament172_south filament237_south filament122_south filament318_north filament297_north filament26_south filament209_south filament103_south filament81_south filament155_south filament104_south filament307_south filament42_south filament123_south filament27_south filament71_south filament158_north filament297_south
hops 44,filament103_north,3.270156564,0.01312723746,45.7736689,filament144_north filament150_north filament1_north filament243_north filament180_north filament239_north filament207_north filament28_north filament142_north filament138_north filament295_north filament245_north filament286_north filament145_north filament434_north filament242_north filament238_north filament181_north filament118_north filament66_north filament294_north filament407_north filament143_north filament139_north filament445_north filament115_north filament316_north filament244_north filament423_north filament285_north filament152_north filament348_north filament104_north filament288_north filament241_north filament140_north filament71_north filament175_north filament357_north filament50_north filament102_north filament33_north filament208_north filament27_north filament2_north filament153_north filament147_north filament105_north filament240_north filament183_north filament231_north filament377_north filament141_north filament70_north filament51_north filament4_north filament174_north filament122_north filament103_north
hops 50,filament241_north,1.166907393,0.004684262095,0.5458016217,filament287_north filament144_north filament150_north filament199_north filament293_north filament1_north filament353_north filament243_north filament180_north filament239_north filament207_north filament388_north filament177_north filament28_north filament142_north filament138_north filament67_north filament100_north filament25_north filament96_north filament245_north filament151_north filament292_north filament286_north filament145_north filament434_north filament418_north filament242_north filament238_north filament181_north filament325_north filament6_north filament66_north filament407_north filament143_north filament139_north filament445_north filament115_north filament101_north filament316_north filament299_north filament244_north filament423_north filament351_north filament285_north filament146_north filament152_north filament291_north filament348_north filament104_north filament288_north filament241_north filament125_north filament140_north filament362_north filament175_north filament357_north filament50_north filament99_north filament68_north filament102_north filament387_north filament208_north filament27_north filament2_north filament153_north filament290_north filament147_north filament261_north filament105_north filament289_north filament240_north filament183_north filament377_north filament141_north filament51_north filament98_north filament4_north filament338_north filament174_north filament185_north filament136_north filament103_north
