source filament pa
"davis 11" filament90_north 118.16879207458663
"davis 17" filament283_north 71.79204145572751
"davis 21" filament14_north 136.69403495574676
"davis 30" filament50_north 55.4309378111447
"davis 50" filament18_south 37.71434226597559
"hops 10" filament75_south 90.3391815401772
"hops 11" filament42_south 109.62862044325337
"hops 12" filament71_south 42.12370085617473
"hops 44" filament103_north 45.77366890293147
"hops 50" filament241_north 0.5458016216759916
"hops 56" filament254_north 85.25883459553893
"hops 58" filament61_north 162.59498380357468
"hops 59" filament30_north 11.753095623582794
"hops 60" filament30_north 153.7102495372828
"hops 68" filament154_north 2.4596869507112444
"hops 70" filament154_north 153.47034089081794
"hops 71" filament154_north 160.9814479043414
"hops 75" filament91_north 11.93964315447026
"hops 78" filament91_north 36.06898500818726
"hops 81" filament91_north 65.53662216718735
"hops 84" filament162_north 136.0668584384237
"hops 87" filament164_north 107.12055407362442
"hops 88" filament164_north 116.39472308478402
"hops 92" filament74_north 131.90204857615407
"hops 96" filament109_north 14.395818696063841
"hops 99" filament235_north 179.99212676549288
"hops 157" filament262_south 15.881464756701604
"hops 158" filament262_south 15.881464756701604
"hops 160" filament328_south 144.1621251117571
"hops 166" filament191_south 39.804067762404806
"hops 168" filament92_south 90.4535930611458
"hops 169" filament186_south 145.86830070647704
"hops 174" filament17_south 98.39838618548951
"hops 177" filament128_south 0.0
"hops 178" filament19_south 1.0304676850065277
"hops 179" filament19_south 44.07133613690534
"hops 181" filament19_south 8.293534133626139
"hops 182" filament19_south 7.4367730038778745
"hops 192" filament88_south 147.41485784948702
"hops 198" filament230_south 111.78730913544341
"hops 203" filament131_south 44.07429679999697
"hops 355" filament262_south 1.1749288723770803
"hops 368" filament14_north 91.33695870860217
"hops 370" filament283_north 72.60173065437591
"hops 383" filament267_north 35.82835495343612
