source gamma
"davis 11" 26.850797641835925
"davis 17" 9.825453232331299
"davis 17" 37.732378322300534
"davis 21" 42.76771038554446
"davis 30" 35.4309378111447
"davis 50" 35.741400862630094
"hops 10" 71.4129202949209
"hops 11" 62.49309452174515
"hops 11" 85.96291387388601
"hops 12" 53.58588710738971
"hops 44" 69.84614150771463
"hops 50" 15.772325592555717
"hops 56" 33.251644385324326
"hops 58" 88.1216358578993
"hops 59" 38.22160897723771
"hops 60" 78.05756655847097
"hops 60" 83.20647267123911
"hops 68" 19.97935604003601
"hops 68" 23.564961125596625
"hops 70" 74.18639346990994
"hops 71" 58.50085478672949
"hops 75" 16.612893687693884
"hops 78" 59.28270213796362
"hops 78" 43.4893753687735
"hops 81" 40.011994032926026
"hops 81" 31.98610886945734
"hops 84" 57.67321983994289
"hops 84" 48.813999541548654
"hops 87" 27.006922263524217
"hops 87" 10.818756362109923
"hops 88" 36.187737894721195
"hops 88" 34.50627246068463
"hops 92" 42.51687599615947
"hops 92" 41.24258680117029
"hops 96" 54.54031324685401
"hops 96" 71.09620203987015
"hops 99" 48.49943218427879
"hops 157" 84.09907673515096
"hops 158" 49.71358315735097
"hops 158" 50.379956319568265
"hops 160" 1.7820647330603094
"hops 166" 59.35896447156252
"hops 166" 39.51930400578839
"hops 168" 82.57613282641861
"hops 168" 69.11051915192903
"hops 169" 49.07992293335218
"hops 169" 35.13816980531175
"hops 174" 85.48980642207884
"hops 177" 6.234324337925614
"hops 178" 75.71296638113947
"hops 179" 59.97708331919648
"hops 179" 27.86782551201851
"hops 181" 48.32598581603057
"hops 181" 11.683639305953648
"hops 182" 33.48803777027392
"hops 182" 15.884112655081026
"hops 192" 52.63481782593111
"hops 192" 34.449607942246345
"hops 198" 0.06912719465614714
"hops 203" 84.91752365477151
"hops 355" 75.11969956496559
"hops 355" 83.56017064533368
"hops 368" 61.26469578633014
"hops 368" 83.55778825072298
"hops 370" 37.04922099862962
"hops 370" 48.267773253281106
"hops 383" 88.03795198436768
