#Hunting for outflows around all H2 flows/jets catalogued in Davis et al. 2009 without HOPS sources. There are a total of 46 Davis H2 flows without corresponding HOPS sources. These either have no source identified in Davis, and thus the location is the position of the most prominent H2 feature (29 of these). Or they have a source identified but the source is not in the HOPS catalog (17 of these)
#Number of flow in Davis et al. 2009, is there a CO outflow here?, blue velocity cut, red velocity cut, outflow identified by Tanabe?, notes
davis, outflow, blue_vel, red_vel, tanabe, notes
2, ?, -, -, 2, "Arc-like feature around the disk source IRS 2 (Spitzer Orion 2450). Tanabe assigns the CO outflow here to this source, their Outflow 2. But I think it's more likely this H2 outflow is driven by HOPS 383, the protostar to the NW, based on the CO morphology."
8, 0, 9, 13.5, -, "The davis H2 flow (SMZ 8) is a faint bow-shaped H2 nebulosity at this location. The proper motion of three knots in the bow shock are not consistent. No clear source for this H2 flow and no CO counterpart." 
11, 1, -, -, 9, "This H2 flow is a curved chain of H2 knots. The location of SMZ12 is the putative source (Spitzer Orion 2345) located midway along this chain of H2 knots.Tanabe identfies CO outflow 9 as the blue lobe to the NW. However, the position angle incorrectly recorded in Tanabe Table 5, it should be 160 degrees, not 20 degrees. There is also a red lobe of emission to the SE which is not included in this outflow by Tanabe. This is assumed to be part of Outflow 11."
17, 1, 3, 18, -, "NEW CO OUTFLOW. This flow is the H2 jet/bow shocks extending NE of the cluster. Davis gives this location as the putative source (Spitzer Orion 2293). There is a ton of CO emission in this area. The red/blue CO emission overlapping the H2 structures in SMZ 17 to the NE are assigned to Outflow 13 by Tanabe, driven by the HOPS protostar 370 just to the NE of this source. This source is located just between two red/blue local maxima of CO emission, which looks like it could be a new very small scale outflow. Both red/blue emission extends to the spectral extrema of the cube. To better see the distinction of this CO outflow from the larger one to the NE, it helps to use very extreme velocity ranges for integrating the cube. At blue = 3 km/s and red = 18 km/s, the two outflows are completely distinct. See entry for HOPS 370 for more detail."
18, ?, 8.6, 13.3, -, "SMZ 18 marks position of H2 bullet near the main body of the H2 flow SMZ 17 (see SMZ 17 entry). SMZ 18 is probably part of the same flow, but Davis et al. mention it may be another flow seen in projection, mainly based on the dubious proper motion of the main know in SMZ 18. Assuming SMZ 18 goes with SMZ 17, the source and CO counterpart (Outflow 13) to this flow is discussed in the entries under HOPS 370 and SMZ 17. If we take the proper motion of this H2 bullet at face value, it points directly at a bow-shaped redshifted structure in CO about an arcminute to the E. No blue counterpart to this CO feature, so it's unclear."
20, 0, -, -, -, "Location is the putative source of SMZ 20: disk-source Spitzer Orion 2296. But there is also a red source to the north of this star which is in neither spitzer orion nor hops catalog which may be the driver of this H2 flow. In any case, there's no evidence of a CO outflow here."
21, ?, 8, 14, 15, "Together with SMZ 22, chain of H2 knots wth proper motions to the south of this source - disk-excess Spitzer Orion 2274. Tanabe classifies the red CO lobe to the south as Outflow 15, this CO is roughly coincident with some of the H2 emission. More uncertain is the redshifted emission closer to the source. This is also oriented in the same direction (South) as the H2 flow, but Tanabe assigns this emission to the E-W outflow 16 driven by HOPS 60." 
26, ?, 4.5, 11.5, -, "This H2 flow is inside the Huygens region of the nebula, about 1.4 arcminutes West of the Trapezium. Davis et al. was unable to identify an outflow source because of the bright emission associated with this region. The H2 flow, SMZ 26, extends NW from RA = 5:35:11 to 5:35:03 and DEC = -5:23:15 to -5:21:51. In CO, there is a ton of confusion here. Some redshifted emission is coincident with the first knot in the H2 flow, whose position is marked by SMZ26. There is a linear blueshifted feature with possible red CO counterflow SW of SMZ 26. No clear CO outflow corresponds to SMZ 26."
27, ?, 2.8, 11.8, -, "SMZ 27 marks a short colllimated H2 jet oriented SE-NW just south of SMZ 26, west of Trapezium. IN CO, there is a short bipolar red/blue apparent outflow oriented EW centered just a few arcseconds to the W of this H2 jet. It's unclear what relation this CO has to the H2 flows."
28, ?, 4.5, 11.5, -, "smz 28 is an EW directed H2 flow in the same vicinity as 26/27, W of the trapezium, among the OMC1 fingers. Again, no obvious CO counterpart to this flow, but enough high-velocity CO in the area to keep this a potential outflow source of interest. "
30, ?, 4.5, 14, 20, "SMZ 30 is a tentative H2 flow consisting of two very faint H2 knots located N and S of the putative source, disk-star Spitzer Orion 1505. This identification is backed up by the VISTA NIR image, which shows nebulosity around this star which looks like a bipolar outflow cavity in the same direction as the H2 knots. Tanabe catalogues their Outflow 20 here, assigning the blueshifted emission surrounding this source to the outflow, with no corresponding red lobe. The CO outflow is unclear."
32, 0, 5.6, 11, -, "SMZ 32 is an uncertain grouping of 3 h2 knots in a N-S chain in OMC4. Davis et al. report proper motions for these knots, which are uncertain but tentatively suggest they are moving in the N-S direction. Neither Stanke02 nor Davis09 are clear on the source of this flow. The northern 2 knots are also identified as MHO 60 in Davis's catalog, while the sourthern knot is MHO 62. In CO: No CO suggesting an outflow in this region."
33, ?, 5.3, 11.4, -, "SMZ 33 consists of two H2 knots anchoring a faint diffuse linear H2 feature connecting them, oriented SE-NW. The putative source for this H2 outflow is the disk-source Spitzer Orion 1295, but Davis et al. is not at all certain in this. Maybe HOPS 29 to the W, with its wide-angle nebulosity in the NIR, has something to do with these H2 knots? In CO, there is not much high-velocity emission around. A bit of redshifted CO in the vicinity, MAY be CO counterpart to this flow, but very dubious."
34, ?, 5.5, 11, -, 	"Two H2 knots grouped together in OMC 4, also named MHO 65. No driving source identified for this putatitive H2 jet. In CO, there are multiple velocity components here, and this is near the edge of a large pillar being shaped by the UV field from the north. No clear outflow can be detected in CO."
36, ?, 8, 10.7, -, "Cluster of H2 knots, with uncertain and heterogenous proper motions from Davis et al. No source apparent. In CO: there is a linear feature extending NE-SW at ~ 7 km/s. And, some redshifted CO on either side of the H2 knots from 10-12 km/s."
44, ?, 6, 11, 30, "Location for this source is incorrect in Davis catalog. SMZ 44 is the bowshock seen in H2, which is assigned to Spitzer Orion 1014 disk-source by Davis et al. The location of SMZ 44 should either be at this bow shock, located at approx. 5:35:45, -6:12:45 or at the putative source, Spitzer Orion 1014 at 5:35:42, -6:11:43. In CO, there is some redshifted emission to the SE of the star in the vicinity of the bow shock. I'm skeptical of Tanabe's assignment of the CO emission here." 
47, 0, 7.2, 10.9, -, "This H2 flow is a faint chain of knots extending SE-NW to NW of L1641-N. No source is identified. "
48, 0, 5.5, 11.5, -, "SMZ 48 is a chain of H2 knots oriented NE-SW to the NW of L1641-N, so most likely unrelated to the cluster. No source identified by Davis et al, but the H2 jet is near the star Parenago 2354, which is not in the Spitzer Orion catalog."
50, ?, 4.5, 11.5, 33, "SMZ50 is a chain of N-S H2 knots near the disk-source Spitzer Orion 939, to the W of L1641-N. Davis et al. tentatively identifies this IRS source as the drive of this flow, so the location of SMZ 50 is the location of Spitzer Orion 939. In CO, Tanabe identifies the small patch of blueshifted emission to the North as Outflow 33, a dubious assertion."
52, 0, -, -, -, "SMZ 52 is a faint arc of H2 to the E of L1641-N. Maybe an extension of DFS 115 to the SW (see HOPS 173/174 for that flow). "
54, ?, 4.8, 11.5, -, "AKA MHO 104. SMZ 54 is a chain of H2 knots stretching SE from L1641-N with a bowshock at the far end, about 5 arcminutes SE from the core of the cluster. No source was identified by Davis et al. for this flow. The location of SMZ 54 marks perhaps the brightest knot in the flow, NW of the bow shock, which is marked by the location of MHO 104. The flow DFS 115 has an H2 feature cutting orthogonally across the SMZ 54 flow, most likely driven by HOPS 174 (see entry). In CO: Not really any evidence of a CO outflow here, unless we consider the giant blueshifted feature to the SE of L1641-N as a giant blue lobe of an outflow."
57, 0, 5.5, 10.5, -, "SMZ 57 AKA MHO 107. There is an optical HH object seen easily in H-alpha which appears to be a bipolar jet centered on the disk-source Spitzer Orion 847 AKA BE Ori. In Davis et al, SMZ 57 is a series of H2 knots with no obvious source, so the location of SMZ 57 is centered on the small bow shock. But if SMZ 57 is the H2 counterpart to the optical HH 292, then the source seems most likely to be BE Ori. In CO: No CO counterpart evident." 
60, ?, 5.4, 11.5, -, "SMZ 60 AKA MHO 113, optical counterpart is HH35, which has a distinct bow-shaped morphology strongly suggesting a flow originating from Herbig Be star V380 Ori to the SE. This flow is supposed by Stanke et al. 2010 to be responsible for shaping part of the cavity near V380 Ori (the so-called hole in the sky). Stanke et al. 2010 propose that SMZ 60 / HH 35 / MHO 113 has a counterflow SE of V380 Ori seen as the H2 knot SMZ 6-8 AKA MHO 118. This would represent a bipolar flor SE-NW driven by the V380 Ori system. Further extending this flow, Reipurth et al. 2013 argue that the HH 222 Orion Streamers region is a giant bow shock with proper motion away from the V380 Ori system. In the counterflow direction, to the SE, they newly identify HH 1041, a faint bow-shaped nebulosity. The total projected extend of this flow is then at least 5.3 pc, from HH 1041 in the SE, through the H2 knot SMZ 6-8 / MHO 118 just SE of V380 Ori, through SMZ 60 / HH 35 / MHO 113 just NW of V380 Ori, all the way to the Orion Streamer bow shock HH 222. This makes it one of the longest known outflows. They speculate that a dynamical interaction among the quadruple V380 Ori system triggered this outflow less than 28,000 years ago, based on the proper motion of HH 222. In CO, the redshifted cauliflower or hot-air-balloon shaped CO structure is here, surrounding V380 Ori. SMZ 60 is just at the NW edge of this redshifted structure. It's unclear if there is any larger scale CO flow associated with the giant HH outflow."
