#Hunting for outflows in the 12CO CARMA Orion Data. 
#In the following table, I will go through all HOPS protostars covered by the 
#CARMA-NRO Orion footprint.
#If there are signs of an outflow IN 12CO, I will find the optimal blue and red velocity
#ranges to display it, these are written in blue_vel and red_vel (in km/s). If
#these values have '0' or '-' that means that the automatic fit value is fine. 
#If the outflow is seen in Tanabe's NRO-only study, tanabe = the outflow number #corresponding to tanabe's study. ? means unclear
hops, outflow, blue_vel, red_vel, tanabe, notes
10, 1, -, -, 27, "Difficult to assess the emission here. Definitely some of the red emission, espeically to the NE of the source, is outflowing emission as it follows the trajectory of several H2 knot proper motions measured by Davis 09. I think Tanabe is too liberal with this CO outflow, I see no evidence that the red emission farther to the SW and SE, nor the small blue emission contours should be included in this outflow. In particular, to the SE there appears to be a bipolar red/blue outflow without any candidate source in either HOPS or Spitzer Orion. The position angle of this outflow should not be used in filament analysis, because of the difficulty in delineating the outflow lobe."
11, 1, -, -, 26, "Small N-S bipolar outflow, clearly driven by HOPS 11."
12, 1, -, -, 25, "Large blue lobe extending northward, perhaps some red emission to the south, but this emission is entangled with the outflow from HOPS 10 (Tanabe 27)."
# 13, 0, 5.8, 11.5, -, ""
# 15, 0, -, -, -, ""
# 16, 0, -, -, -, ""
# 17, 0, -, -, -, "This hops source is inside of large blue outflow lobe, attributed to outflows 24 and 25 by Tanabe. Most likely just one large blue flow here, identified as Tanabe 25, with likely driving source HOPS 12."
# 18, 0, -, -, 24, "In a large blue outflow lobe with outflow 25. I don't buy this as a separate outflow. The proper motions of the H2 knots in the vicinity of this source are consistent with being part of one large blue flow coming from HOPS 12."
# 19, 0, 6, 12.5, -, ""
# 20, 0, -, -, -, ""
# 22, 0, -, -, -, ""
# 24, 0, 5.6, 11, 23, "This doesn't look like much of an outflow to me. I think it's a false positive in Tanabe."
# 26, 0, 6, 11, -, "Small redshifted emission structure to the NW of HOPS26, channel maps dubious" 
# 28, 0, -, -, -, "lots of high-velocity emission to the North but no clear collimated structures from HOPS28"
# 29, 0, -, -, -, "this source is right next to hops28 above."
# 30, 0, 4.6, 11.3, 22, "A long (0.4 deg / 3 pc) filament-like structure at 4-6 km/s which blends smoothly into the main OMC4/5 filament at higher velocities (7-8 km/s). Not clearly red/blue symmetric. I doubt this is an outflow, needs follow up. Look at H2 NIR images."
# 32, 0, -, -, -, "There is a small collimated blueshifted CO feature to the NE @ ~ (5:34:39, -5:37:52) which points roughly back to this protostar. Follow up, check H2 NIR images."
# 33, 0, 4, 12, -, "Inside the filament-like structure along with HOPS 30"
# 36, 0, 4, 12, -, "Some redshifted emission in the area, follow up this source."
# 38, 0, 4.5, 11.8, -, "Inside of shocked pillar regions south of ONC" 
# 40, 0, 4.5, 12, -, "Inside of shocked pillar regions south of ONC, w/ blueshifted emission structures."
# 41, 0, -, -, -, "Some blueshifted emission around"
# 42, 0, 4.4, 12, -, "In same region as hops41"
# 43, 0, 4.4, 12, -, "In same region as hops41,42"
44, ?, 4.4, 12, -, "In same region as hops41,42, but located closer to the blueshifted emission. There does seem to be some high-velcoity blue CO emission here, which is not obviously correlated with the cloud ridges."
# 45, 0, 4, 13, -, ""
# 47, 0, 7, 11, -, ""
# 49, 0, -, -, -, ""
50, ?, 5.8, 13, 21, "The blueshifted emission extending to the NW of the source blends into larger cloud structures at higher velocities, indicating it may not be an outflow. There is also a thin linear redshifted structure at ~11-12 km/s which is oriented roughly W-E"
# 53, 0, 4.5, 12, -, "This source is located just to the west of a large (4' diameter) structure of overlapping red and blueshifted emission. This structure is just north of the ripples (kelvin-helmholtz instabilities). Needs more follow up. What's going on here?"
56, ?, 6, 14, 19, "Tanabe indicates an EW outflow position angle here, but redshifted emission is oriented on a N-S axis. But Tanabe notes this outflow was identified in Takahashi+2008 as well. I should follow up with Takahashi+2008, Takahashi notes that the red lobe of this outflow may be shocked gas from the M43 HII region to the East. We don't detect their blue lobe. This is a very marginal outflow."
# 57, ?, 6.9, 14, -, "This source is near the red-lobe of Outflow 19. It's not clear whether this or HOPS 56 is the driving source of this outflow."
58, ?, 6.9, 14, -, "The source is near a red EW emission structure, which is part of Tanabe outflow 18, I think this is the most likely of any driving source for this red lobe." 
