dist	_RAJ2000	_DEJ2000	recno	n_SMZ	SMZ	SMZ2	m	RAJ2000	DEJ2000	n_DEJ2000	Outflow	alpha	N850	a850	b850	I850	F850	N1200	a1200	b1200	O1200	I1200	F1200	l_L	L	theta	l_PA	PA	HH
-------	----------	----------	--------	----------	---	---	----------	----------	----------	----------	----------	-----	----------	--	--	----	-----	----------	---	--	---	-----	-----	----------	-----	--	----------	---	----------
-1.0	085.349583	-8.213056	112	N	139	 	 	05 41 23.9	-08 12 47	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	~	0.50	 	~	80	 
-1.0	085.193333	-8.076667	108	N	135	 	 	05 40 46.4	-08 04 36	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	2.50	 	 	90	 
-1.0	084.926667	-8.049444	115	N	142	 	 	05 39 42.4	-08 02 58	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	 	 	 	 	 
-1.0	085.632917	-8.020556	113	N	140	 	 	05 42 31.9	-08 01 14	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	 	 	 	 	 
-1.0	085.275833	-8.003889	107	N	134	 	 	05 41 06.2	-08 00 14	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	>	0.50	 	~	35	 
-1.0	084.792917	-7.660833	105	N	132	 	 	05 39 10.3	-07 39 39	)	?	 	no obs	 	 	 	 	?	 	 	 	 	 	~	20.00	15	~	60	 
-1.0	084.842917	-7.445833	70	K	73	 	 	05 39 22.3	-07 26 45	 	IRS 73	-0.37	no obs	 	 	 	 	MMS 73	15	10	24	0.34	0.09	 	2.30	14	 	133	470
-1.0	085.107500	-7.370556	72	K	75	 	m	05 40 25.8	-07 22 14	)	?	 	no obs	 	 	 	 	?	 	 	 	 	 	>	1.50	 	 	45	 
-1.0	085.098750	-7.342222	71	K	74	 	m	05 40 23.7	-07 20 32	)	?	 	no obs	 	 	 	 	?	 	 	 	 	 	>	1.00	 	 	53	 
-1.0	084.495833	-7.220833	101	N	128	 	 	05 37 59.0	-07 13 15	)	?	 	no obs	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	 
-1.0	085.044167	-7.179444	103	N	130	 	 	05 40 10.6	-07 10 46	)	?	 	no obs	 	 	 	 	?	 	 	 	 	 	 	1.00	 	 	150	 
-1.0	083.971667	-6.953611	98	N	125	 	 	05 35 53.2	-06 57 13	)	no obs	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	3.70	 	~	15	127
-1.0	084.445833	-6.892500	93	N	120	 	 	05 37 47.0	-06 53 33	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	~	0.10	 	~	120	 
-1.0	084.129167	-6.878056	97	N	124	 	m	05 36 31.0	-06 52 41	 	IRS 124	0.39	no obs	 	 	 	 	undetected	 	 	 	 	 	 	1.00	39	~	140	 
-1.0	084.387917	-6.838889	96	N	123	 	 	05 37 33.1	-06 50 20	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	8.50	30	~	95	 
-1.0	084.088333	-6.768889	62	K	65	 	 	05 36 21.2	-06 46 08	)	?	 	?	 	 	 	 	 	 	 	 	 	 	 	1.90	 	 	110	144
-1.0	084.048333	-6.717778	59	K	62	 	 	05 36 11.6	-06 43 04	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	3
-1.0	084.091667	-6.695000	57	K	60	 	 	05 36 22.0	-06 41 42	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	35
-1.0	084.237083	-6.571389	54	K	57	 	 	05 36 56.9	-06 34 17	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	292
-1.0	083.385417	-6.495556	90	N	117	 	 	05 33 32.5	-06 29 44	 	HH 83-IRS	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	10.80	6	 	108	83/84
-1.0	084.129167	-6.413611	51	K	54	 	 	05 36 31.0	-06 24 49	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	 
-1.0	084.162917	-6.377222	49	K	52	 	 	05 36 39.1	-06 22 38	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	 
-1.0	084.047917	-6.372778	47	K	50	 	 	05 36 11.5	-06 22 22	 	IRS 50?	-0.90	undetected	 	 	 	 	undetected	 	 	 	 	 	 	2.00	 	~	170	 
-1.0	084.043750	-6.331944	45	K	48	 	 	05 36 10.5	-06 19 55	 	?	 	?	 	 	 	 	?	 	 	 	 	 	 	1.40	 	 	40	299
-1.0	083.837083	-6.306111	89	N	116	 	 	05 35 20.9	-06 18 22	 	IRS 116?	0.18	undetected	 	 	 	 	undetected	 	 	 	 	 	 	1.30	29	 	133	33/40
-1.0	083.908750	-6.252222	44	K	47	 	 	05 35 38.1	-06 15 08	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	0.90	 	 	155	 
-1.0	083.938333	-6.195556	41	K	44	 	 	05 35 45.2	-06 11 44	 	IRS 44?	-1.19	undetected	 	 	 	 	undetected	 	 	 	 	 	 	1.30	 	 	132	 
-1.0	083.791667	-5.751667	33	K	36	 	m	05 35 10.0	-05 45 06	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	 
-1.0	083.844167	-5.741667	85	N	112	 	 	05 35 22.6	-05 44 30	 	IRS 112	0.26	undetected	 	 	 	 	undetected	 	 	 	 	 	 	3.00	4	 	105	 
-1.0	083.791250	-5.729167	31	K	34	 	m	05 35 09.9	-05 43 45	 	IRS 34	1.54	undetected	 	 	 	 	undetected	 	 	 	 	 	 	 	 	 	 	 
-1.0	083.716250	-5.692500	30	K	33	 	m	05 34 51.9	-05 41 33	 	IRS 33?	1.64	undetected	 	 	 	 	undetected	 	 	 	 	 	 	0.50	 	 	134	 
-1.0	083.797500	-5.660556	29	K	32	 	m	05 35 11.4	-05 39 38	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	0.80	 	 	170	 
-1.0	083.177083	-5.598611	83	N	110	 	 	05 32 42.5	-05 35 55	 	IRS 110	0.87	no obs	 	 	 	 	no obs	 	 	 	 	 	 	 	 	 	 	 
-1.0	083.091667	-5.581111	87	N	114	 	 	05 32 22.0	-05 34 52	)	?	 	no obs	 	 	 	 	no obs	 	 	 	 	 	 	 	 	 	 	 
